"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"08/11/2020","AQS","180970078","3","12.9","ppb","11","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/12/2020","AQS","180970078","3","10.4","ppb","9","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/13/2020","AQS","180970078","3","9.3","ppb","8","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/14/2020","AQS","180970078","3","27.3","ppb","25","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/15/2020","AQS","180970078","3","23.6","ppb","22","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/16/2020","AQS","180970078","3","12.1","ppb","11","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/17/2020","AQS","180970078","3","11.6","ppb","10","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/18/2020","AQS","180970078","3","6","ppb","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/19/2020","AQS","180970078","3","18.6","ppb","17","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/20/2020","AQS","180970078","3","25","ppb","24","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/21/2020","AQS","180970078","3","23.9","ppb","22","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/22/2020","AQS","180970078","3","22","ppb","21","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/23/2020","AQS","180970078","3","17.8","ppb","16","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/24/2020","AQS","180970078","3","14.3","ppb","13","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/25/2020","AQS","180970078","3","24.7","ppb","23","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/26/2020","AQS","180970078","3","23.6","ppb","22","Indpls- Washington Park/  in parking lot next to police station","22","92.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/27/2020","AQS","180970078","3","13.4","ppb","12","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/28/2020","AQS","180970078","3","13.1","ppb","12","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/29/2020","AQS","180970078","3","12.1","ppb","11","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/30/2020","AQS","180970078","3","11.2","ppb","10","Indpls- Washington Park/  in parking lot next to police station","23","96.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"08/31/2020","AQS","180970078","3","18.8","ppb","17","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"09/01/2020","AQS","180970078","3","20.6","ppb","19","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"09/02/2020","AQS","180970078","3","17.6","ppb","16","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"09/03/2020","AQS","180970078","3","19.3","ppb","18","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"09/04/2020","AQS","180970078","3","28","ppb","26","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42602","Nitrogen dioxide (NO2)","212","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
